child_id,daily_completion_rate_식탁 정리 도와주기,daily_completion_rate_양치하기,daily_completion_rate_이불 개기,daily_completion_rate_장난감 정리하기,daily_completion_rate_하루 이야기 나누기,parent_completion_reward_STUDY,parent_completion_rate_STUDY,parent_completion_reward_HOUSEHOLD,parent_completion_rate_HOUSEHOLD,parent_completion_reward_HABIT,parent_completion_rate_HABIT,parent_completion_reward_POPO,parent_completion_rate_POPO,parent_completion_reward_ERRAND,parent_completion_rate_ERRAND,parent_completion_reward_ETC,parent_completion_rate_ETC,daily_approval_time,parent_approval_time,daily_completion_time_양치하기_0-2,daily_completion_time_양치하기_2-4,daily_completion_time_양치하기_4-6,daily_completion_time_양치하기_6-8,daily_completion_time_양치하기_8-10,daily_completion_time_양치하기_10-12,daily_completion_time_양치하기_12-14,daily_completion_time_양치하기_14-16,daily_completion_time_양치하기_16-18,daily_completion_time_양치하기_18-20,daily_completion_time_양치하기_20-22,daily_completion_time_양치하기_22-24,daily_completion_time_장난감 정리하기_0-2,daily_completion_time_장난감 정리하기_2-4,daily_completion_time_장난감 정리하기_4-6,daily_completion_time_장난감 정리하기_6-8,daily_completion_time_장난감 정리하기_8-10,daily_completion_time_장난감 정리하기_10-12,daily_completion_time_장난감 정리하기_12-14,daily_completion_time_장난감 정리하기_14-16,daily_completion_time_장난감 정리하기_16-18,daily_completion_time_장난감 정리하기_18-20,daily_completion_time_장난감 정리하기_20-22,daily_completion_time_장난감 정리하기_22-24,daily_completion_time_이불 개기_0-2,daily_completion_time_이불 개기_2-4,daily_completion_time_이불 개기_4-6,daily_completion_time_이불 개기_6-8,daily_completion_time_이불 개기_8-10,daily_completion_time_이불 개기_10-12,daily_completion_time_이불 개기_12-14,daily_completion_time_이불 개기_14-16,daily_completion_time_이불 개기_16-18,daily_completion_time_이불 개기_18-20,daily_completion_time_이불 개기_20-22,daily_completion_time_이불 개기_22-24,daily_completion_time_하루 이야기 나누기_0-2,daily_completion_time_하루 이야기 나누기_2-4,daily_completion_time_하루 이야기 나누기_4-6,daily_completion_time_하루 이야기 나누기_6-8,daily_completion_time_하루 이야기 나누기_8-10,daily_completion_time_하루 이야기 나누기_10-12,daily_completion_time_하루 이야기 나누기_12-14,daily_completion_time_하루 이야기 나누기_14-16,daily_completion_time_하루 이야기 나누기_16-18,daily_completion_time_하루 이야기 나누기_18-20,daily_completion_time_하루 이야기 나누기_20-22,daily_completion_time_하루 이야기 나누기_22-24,daily_completion_time_식탁 정리 도와주기_0-2,daily_completion_time_식탁 정리 도와주기_2-4,daily_completion_time_식탁 정리 도와주기_4-6,daily_completion_time_식탁 정리 도와주기_6-8,daily_completion_time_식탁 정리 도와주기_8-10,daily_completion_time_식탁 정리 도와주기_10-12,daily_completion_time_식탁 정리 도와주기_12-14,daily_completion_time_식탁 정리 도와주기_14-16,daily_completion_time_식탁 정리 도와주기_16-18,daily_completion_time_식탁 정리 도와주기_18-20,daily_completion_time_식탁 정리 도와주기_20-22,daily_completion_time_식탁 정리 도와주기_22-24,parent_completion_time_POPO_0-2,parent_completion_time_POPO_2-4,parent_completion_time_POPO_4-6,parent_completion_time_POPO_6-8,parent_completion_time_POPO_8-10,parent_completion_time_POPO_10-12,parent_completion_time_POPO_12-14,parent_completion_time_POPO_14-16,parent_completion_time_POPO_16-18,parent_completion_time_POPO_18-20,parent_completion_time_POPO_20-22,parent_completion_time_POPO_22-24,parent_completion_time_HABIT_0-2,parent_completion_time_HABIT_2-4,parent_completion_time_HABIT_4-6,parent_completion_time_HABIT_6-8,parent_completion_time_HABIT_8-10,parent_completion_time_HABIT_10-12,parent_completion_time_HABIT_12-14,parent_completion_time_HABIT_14-16,parent_completion_time_HABIT_16-18,parent_completion_time_HABIT_18-20,parent_completion_time_HABIT_20-22,parent_completion_time_HABIT_22-24,parent_completion_time_STUDY_0-2,parent_completion_time_STUDY_2-4,parent_completion_time_STUDY_4-6,parent_completion_time_STUDY_6-8,parent_completion_time_STUDY_8-10,parent_completion_time_STUDY_10-12,parent_completion_time_STUDY_12-14,parent_completion_time_STUDY_14-16,parent_completion_time_STUDY_16-18,parent_completion_time_STUDY_18-20,parent_completion_time_STUDY_20-22,parent_completion_time_STUDY_22-24,parent_completion_time_ERRAND_0-2,parent_completion_time_ERRAND_2-4,parent_completion_time_ERRAND_4-6,parent_completion_time_ERRAND_6-8,parent_completion_time_ERRAND_8-10,parent_completion_time_ERRAND_10-12,parent_completion_time_ERRAND_12-14,parent_completion_time_ERRAND_14-16,parent_completion_time_ERRAND_16-18,parent_completion_time_ERRAND_18-20,parent_completion_time_ERRAND_20-22,parent_completion_time_ERRAND_22-24,parent_completion_time_HOUSEHOLD_0-2,parent_completion_time_HOUSEHOLD_2-4,parent_completion_time_HOUSEHOLD_4-6,parent_completion_time_HOUSEHOLD_6-8,parent_completion_time_HOUSEHOLD_8-10,parent_completion_time_HOUSEHOLD_10-12,parent_completion_time_HOUSEHOLD_12-14,parent_completion_time_HOUSEHOLD_14-16,parent_completion_time_HOUSEHOLD_16-18,parent_completion_time_HOUSEHOLD_18-20,parent_completion_time_HOUSEHOLD_20-22,parent_completion_time_HOUSEHOLD_22-24,parent_completion_time_ETC_0-2,parent_completion_time_ETC_2-4,parent_completion_time_ETC_4-6,parent_completion_time_ETC_6-8,parent_completion_time_ETC_8-10,parent_completion_time_ETC_10-12,parent_completion_time_ETC_12-14,parent_completion_time_ETC_14-16,parent_completion_time_ETC_16-18,parent_completion_time_ETC_18-20,parent_completion_time_ETC_20-22,parent_completion_time_ETC_22-24
0158a8ca-c033-4530-851d-c1b0cc9c8ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01934398-ed47-444a-ac61-da59151d5b68,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03899e6a-85c9-48d5-bc7d-7306e1e69885,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610d015-e5ad-44b4-b79b-7e493cf56359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07d9b168-1c54-46d6-a70a-c093878ecea3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07fbccc8-3559-4555-85df-b73047f68dfe,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0939b14a-9c14-4508-8857-395346c9f011,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12c03e71-13af-44db-9c76-63a51da1de03,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132aabb7-3bcf-4225-85e3-ef22178f2051,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144c7227-486e-4ba0-a8b2-e0eecb4c3bd8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15a15a2e-ae37-40e8-8182-0e22499ca5d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15b61816-c9b7-4710-ab29-850bd1333278,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160c52d9-fb17-4d67-a2af-6bed345f7ca5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737621b-f93f-4339-aff0-5526d31e5007,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813662d-e7d9-431e-a558-8ff626c17285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
